disease,method,rejection_rate,fn_rejection_pct,tn_rejection_pct,fp_rejection_pct,tp_rejection_pct
AD,random_ccr,0.55,66.66666666666666,49.532710280373834,43.24324324324322,57.8125
AD,random_ccr,0.6,73.8095238095238,54.20560747663551,48.64864864864865,63.28125
AD,random_ccr,0.65,78.57142857142857,58.87850467289719,54.05405405405407,67.96875
AD,random_ccr,0.7,83.33333333333334,64.48598130841121,56.75675675675676,73.4375
AD,random_ccr,0.75,83.33333333333334,71.02803738317756,64.86486486486487,77.34375
AD,random_ccr,0.8,85.71428571428571,77.57009345794393,75.67567567567568,81.25
AD,h_total_ccr,0.0,0.0,0.0,0.0,0.0
AD,h_total_ccr,0.05,7.142857142857177,3.7383177570093595,8.108108108108109,3.90625
AD,h_total_ccr,0.1,19.04761904761903,5.607476635514018,16.216216216216218,7.8125
AD,h_total_ccr,0.15,26.190476190476193,10.2803738317757,27.027027027027035,10.93750000000001
AD,h_total_ccr,0.2,35.7142857142857,13.084112149532709,32.432432432432435,16.40625
AD,h_total_ccr,0.25,47.61904761904761,15.887850467289718,48.64864864864867,17.96875
AD,h_total_ccr,0.3,50.0,21.495327102803753,56.756756756756744,21.875
AD,h_total_ccr,0.35,59.523809523809526,25.233644859813097,67.56756756756756,25.0
AD,h_total_ccr,0.4,73.8095238095238,26.168224299065418,70.27027027027027,31.24999999999999
AD,h_total_ccr,0.45,78.57142857142857,31.775700934579437,81.08108108108108,34.375
AD,h_total_ccr,0.5,83.33333333333334,36.448598130841134,86.48648648648648,39.0625
AD,h_total_ccr,0.55,85.71428571428571,42.05607476635514,89.1891891891892,44.53125
AD,h_total_ccr,0.6,85.71428571428571,49.532710280373834,89.1891891891892,51.5625
AD,h_total_ccr,0.65,85.71428571428571,56.07476635514019,91.8918918918919,57.03125
AD,h_total_ccr,0.7,90.47619047619048,61.6822429906542,91.8918918918919,63.28125
AD,h_total_ccr,0.75,95.23809523809523,66.35514018691589,94.5945945945946,68.75
AD,h_total_ccr,0.8,97.61904761904762,72.89719626168224,97.2972972972973,75.0
AD,margin_ccr,0.0,0.0,0.0,0.0,0.0
AD,margin_ccr,0.05,9.523809523809524,2.8037383177569963,8.108108108108109,3.90625
AD,margin_ccr,0.1,21.428571428571427,4.672897196261682,16.216216216216196,7.8125
AD,margin_ccr,0.15,28.57142857142855,9.345794392523365,27.027027027027017,10.93750000000001
AD,margin_ccr,0.2,35.7142857142857,13.084112149532709,32.432432432432435,16.40625
AD,margin_ccr,0.25,47.61904761904761,15.887850467289718,48.64864864864867,17.96875
AD,margin_ccr,0.3,50.0,21.495327102803753,56.756756756756744,21.875
AD,margin_ccr,0.35,59.523809523809526,25.233644859813097,67.56756756756756,25.0
AD,margin_ccr,0.4,73.8095238095238,26.168224299065418,70.27027027027027,31.24999999999999
AD,margin_ccr,0.45,78.57142857142857,31.775700934579437,81.08108108108108,34.375
AD,margin_ccr,0.5,83.33333333333334,36.448598130841134,86.48648648648648,39.0625
AD,margin_ccr,0.55,85.71428571428571,42.05607476635514,89.1891891891892,44.53125
AD,margin_ccr,0.6,85.71428571428571,49.532710280373834,89.1891891891892,51.5625
AD,margin_ccr,0.65,85.71428571428571,56.07476635514019,91.8918918918919,57.03125
AD,margin_ccr,0.7,90.47619047619048,61.6822429906542,91.8918918918919,63.28125
AD,margin_ccr,0.75,95.23809523809523,66.35514018691589,94.5945945945946,68.75
AD,margin_ccr,0.8,97.61904761904762,72.89719626168224,97.2972972972973,75.0
